#N/A,Title,"Recommended
Title ",English,Title,Arabic,Title,Komeyl,Bijan
برای انجام این کار، در پنل کاربری خود از منو، گزینه FUNDS را انتخاب کنید، سپس گزینه TRANSFER را انتخاب کرده و مبلغ رو از حساب معاملاتی به کیف پول منتقل کنید.,انتقال - ولت به حساب,ترنسفر,"To perform this action, in your user panel, select FUNDS from the menu, then choose TRANSFER and transfer the amount from your trading account to your wallet.",Transfer,لإجراء هذه العملیة، في الحساب الخاص بك، اختر FUNDS من القائمة  الرئیسیة، ثم اختر TRANSFER وقم بتحويل المبلغ من  المحفظة الي حساب التداول الخاص بك.,التحويل,Finalized,Done
"جهت دریافت اطلاعات بیشتر می توانید با پشتیبانی آنلاین مجموعه فور اف ایکس ارتباط برقرار بفرمایید :

https://forfx.com/",لینک_پراپ,پراپ- ارجاع به Forfx,"For more information, you can contact the online support of ForFX:
https://forfx.com/",Prop Link,"لمزيد من المعلومات، يمكنكم التواصل اونلاين مع فريق الدعم لمجموعة فورفكس: 
https://forfx.com/ ",رابط بروب,Finalized,Done
"پراپ به این معنی است که یک پلتفرم مالی، سرمایه ای را در اختیار معامله گران قرار می دهد تا با آن در بازار مالی ترید کنند. در نهایت سود حاصل از آن بین شرکت سرمایه گذار و معامله گر تقسیم خواهد شد. 
برای به دست آوردن این فرصت، ابتدا لازم است قوانین مربوط به معامله کردن در پلتفرم سرمایه گذار را مطالعه کرده و طرحی را خریداری کنید. سپس چالش های طرح را با موفقیت پشت سر بگذارید تا حساب واقعی با سرمایه مورد نظر در اختیارتان قرار گیرد. در ادامه باید در چارچوبی که شرکت سرمایه گذار وضع کرده، ترید و کسب سود کنید.",پراپ-تعریف,پراپ- تعریف پراپ فرم,"“Prop” means that a financial platform provides capital to traders to trade in the financial market.Ultimately, the profit generated is shared between the investing company and the trader.
To gain this opportunity, you must first study the rules related to trading on the investor’s platform and purchase a plan. Then, successfully complete the plan’s challenges to receive a real account with the designated capital. Afterwards, you should trade and earn profit within the framework set by the investing company.",Prop – Definition of a Prop Firm,مصطلح “Prop” يعني أن منصة مالية توفر رأس مال للمتداولين للتداول في السوق المالي. في النهاية، يتم تقاسم الأرباح الناتجة بين الشركة المستثمرة والمتداول. للحصول على هذه الفرصة، يجب أولاً قراءة القواعد و القوانين المتعلقة بالتداول بالتمويل على منصة المستثمر وشراء التحدي المعين. من ثم، إكمال التحدي بنجاح للحصول على الحساب الحقيقي مع رأس المال المحدد. بعد ذلك، يجب التداول وتحقيق الأرباح ضمن الشروط والقواعد التي وضعته الشركة المستثمرة.,بروب – تعريف البروب -  ما هو البروب؟,Finalized,Done
"
برای ساخت حساب لایو پراپ لطفا ابتدا وارد پنل کاربری خود شوید:
در نوار موجود در پنل خود ، روی گزینه ی Prop Trading کلیک کنید.
صفحه ی باز شده را تا پایین اسکرول کنید تا برای شما انواع حساب ها نمایش داده شود.
روی حساب مدنظر خود کلیک کرده گزینه ی  Create Live Account را انتخاب بفرمایید تا در صفحه ی بعد تنظیمات حساب را ست کنید.
در این بخش نوع متاتریدر و لوریج ( ثابت) را انتخاب کرده و در صورتی که قصد دارید زیر مجموعه ی فردی شوید، گزینه ی Opo Ib Network که در زیر لوریج قرار دارد را انتخاب و کد را وارد کنید.
مشخصاب حساب برای شما نمایش داده خواهد شد ، لطفا تایید کنید تا حساب شما ساخته شود.
اطلاعات حساب از جمله لاگین نامبر و پسوردها برای شما نمایش داده شده و نیز به آدرس ایمیل شما ارسال خواهد شد.
ایمیلی دیگری جهت اطلاعات لاگین شما به پنل کاربری
ForFx
نیز ارسال خواهد شد.
توجه داشته باشید زمانی که چالش حساب لایو آغاز می شود هرگونه واریزی به این حساب تخلف محسوب شده و حساب بریچ و از دسترس خارج می شود.
",پراپ-ساخت-حساب-لایو,پراپ- نحوه ساخت حساب لایو,"
To create a Prop Live Account, please first log in to your user panel.
In the panel menu, click on Prop Trading. Scroll down the opened page to view the available account types. Click on your desired account and select Create Live Account to set up your account on the next page.In this section, choose the type of MetaTrader and the (fixed) leverage. If you wish to become someone’s sub-account, select Opo IB Network, which is located below the leverage option, and enter the code.Your account details will be displayed; please confirm to create your account. Account information, including login number and passwords, will be displayed and also sent to your email address. Another email containing your login information will be sent to your ForFx user panel.Please note that once the Live Account challenge begins, any deposit to this account will be considered a violation, and the account will be breached and disabled.",Prop – How to Create a Live Account,"لإنشاء حساب التحدي المباشر الخاص بالتداول بالتمويل، يرجى أولاً تسجيل الدخول إلى الحساب الخاص بك. في القائمة الرئیسیة، اضغط على Prop Trading. قم بالتمرير لأسفل الصفحة المفتوحة لعرض أنواع الحسابات المتاحة. اضغط على الحساب الذي تريده واختر Create Live Account لإعداد حسابك في الصفحة التالية.
 إذا كنت ترغب في أن تصبح تابعًا لشخص آخر، اختر Opo IB Network الموجود أسفل خيار الرافعة المالية، وأدخل رقم الـوسيط المعرف ""IB"" . سيتم عرض تفاصيل حسابك؛ يرجى التأكيد لإنشاء الحساب. ستُعرض معلومات الحساب، بما في ذلك رقم الدخول و كلمة المرور، كما سيتم إرسالها إلى بريدك الإلكتروني. سيتم أيضًا إرسال بريد إلكتروني آخر يحتوي على معلومات تسجيل الدخول إلى لوحة المستخدم الخاصة بك في ForFx.يرجى ملاحظة أنه بمجرد بدء تحدي الحساب الحقيقي، أي إيداع في هذا الحساب سيُعتبر مخالفة، وسيتم اختراق الحساب وإيقافه عن العمل.",بروب – كيفية إنشاء حساب تحدي مباشر,Finalized,Done
"شرکت سرمایه گذاری 
ForFx
و بروکر 
Opofinance
در زمینه پراپ با هم همکاری میکنند، با این شرح که شما می توانید با حساب واقعی و شخصی خودتان در بروکر اپوفایننس ترید کنید و همزمان در چالش دریافت حساب سرمایه گذاری شده (فاند شده) شرکت کنید. نام این طرح حساب لایو است. در این طرح نیازی نیست چالشی را خریداری کنید و بابت آن هزینه جداگانه پرداخت کنید.
کافی است در بروکر اپوفایننس، حساب پراپ بسازید و مبلغ مورد نظر را که هنگام ساخت حساب پراپ انتخاب کرده اید واریز کنید. حساب شما با واریز مبلغ فعال می شود و چالش شما زمانی آغاز می شود که اولین ترید را انجام دهید. پس از این که با موفقیت چالش را پشت سر گذاشتید حساب فاند شده در سایت 
ForFx
در اختیارتان قرار می گیرد.

برای مشاهده شرایط کامل طرح حساب لایو و سایر طرح های پراپ وارد لینک زیر شوید:

https://forfx.com/",پراپ-حساب-لایو,پراپ-توضیح حساب لایو,"The investment company ForFx and the broker Opofinance collaborate in the field of prop trading. This means that you can trade with your own real account on Opofinance while simultaneously participating in the funded account challenge. This program is called the Live Account. In this program, you do not need to purchase a challenge separately or pay an additional fee.You simply need to create a prop account on Opofinance and deposit the amount you selected when creating the prop account. Your account will be activated upon deposit, and your challenge will begin when you make your first trade. After successfully completing the challenge, the funded account will be made available to you on the ForFx website.To view the full terms of the Live Account program and other prop programs, please visit the following link:

https://forfx.com/",Prop – Explanation of the Live Account,"تتعاون شركة التداول بالتمويل فورفكس (FORFX)  و الوسيط أوبو Opo في مجال التداول بالتمويل. هذا يعني أنه يمكنك التداول بحسابك الحقيقي الشخصي على منصة أوبو وفي الوقت نفسه المشاركة في تحدي  التداول بالتمويل و الذي يُعرف باسم التحدي المباشر. لا تحتاج إلى شراء هذا التحدي بشكل منفصل أو دفع أي تکلفة إضافية. يكفي إنشاء حساب تداول بالتمويل (بروب) على منصة أوبو وإيداع المبلغ الذي اخترته عند إنشاء الحساب. سيتم تفعيل حسابك عند الإيداع، وسيبدأ التحدي الخاص بك عند إجراء أول عملية تداول. بعد إكمال التحدي بنجاح، سيتم توفير الحساب الممول لك على منصة ForFx. لعرض الشروط الكاملة للتحدي المباشر وباقي أنواع تحديات التداول بالتمويل، يرجى زيارة الرابط التالي:
https://forfx.com/",التداول بالتمويل– شرح حساب التحدي المباشر,Finalized,Done
"Pulse AI:
سرویس جدید از اپوفایننس است که با استفاده از هوش مصنوعی کاملترین دیتای بازار رو در اختیار کاربران قرار می دهد.
 این ابزارفراهم شده تا اخبار و اطلاعات مهم و بروز بازار فارکس رو از تمام کانال ها و خبرگزاری های فارکس جمع آوری می کند و در اختیار کاربران قرار می دهد.
دسترسی به این ابزار برای تمامی کاربران امکان پذیر می باشد.
برای دسترسی به این قسمت می توانید وارد پنل کاربری شوید سپس در منوی 
Opo Labs
و با انتخاب نوع نماد و تایم فریم مورد نظر می توانید از این سرویس استفاده و اطلاعات را مشاهده بفرمایید.
https://client.opofinance.com/trading-tools/opo-ai",PulseAI-FA,پنل- تعریف PulsAI,"using artificial intelligence. This tool gathers important and up-to-date Forex market news and information from all channels and Forex news agencies and makes it available to users.Access to this tool is available to all users. To use this service, log in to your user panel, go to Opo Labs, and select the desired symbol and time frame to view the information.

https://client.opofinance.com/trading-tools/opo-ai",Panel – Definition of Pulse AI,"Pulse AI:
 هي أداة جديدة من أوبو توفر للمستخدمين أهم و أحدث بيانات السوق  باستخدام الذكاء الاصطناعي. تجمع هذه الأداة الأخبار والمعلومات المهمة و الحديثة عن سوق الفوركس من جميع القنوات ووكالات أخبار الفوركس وتتيحها للمستخدمين.  هذه الأداة متاحة لجميع المستخدمين. لاستخدامها، قم بتسجيل الدخول إلى لوحة التحكم الخاصة بك، ثم انتقل إلى Opo Labs، واختر الرمز والفتره الزمنیة لمشاهدة المعلومات.
https://client.opofinance.com/trading-tools/opo-ai",لوحة المستخدم– تعريف خدمة Pulse AI,Finalized,Done
"برای دسترسی به تقویم اقتصادی از پنل کاربری خود وارد منوی داشبورد شوید روی گزینه
Trading Tools
کلیک کنید و سپس گزینه ی
Economic Calender
را انتخاب نمایید
تقویم‌های اقتصادی تاریخ‌هایی را فهرست می‌کنند که شامل داده‌های اقتصادی مهمی مانند سطوح تورم و تغییرات در نرخ بهره و موارد بسیار دیگری می باشند. این داده ها تاثیر زیادی بر بازار ارز جهانی می گذارد و ابزاری ضروری برای هر معامله گر فارکس است.
 تقویم اقتصادی در استراتژی فارکس، شانس معامله‌گر را برای رزرو سود یا جلوگیری از ضرر افزایش می‌دهد.",تقویم-اقتصادی,پنل- تقویم اقتصادی,"To access the Economic Calendar, log in to your user panel, go to the Dashboard menu, click on Trading Tools, and then select Economic Calendar. Economic calendars list dates that include important economic data such as inflation levels, changes in interest rates, and much more. This data has a significant impact on the global currency market and is an essential tool for any Forex trader. The Economic Calendar in Forex strategies increases a trader’s chance to secure profits or prevent losses.",Panel – Economic Calendar,لاستخدام التقويم الاقتصادي، يجب تسجيل الدخول إلى حسابك أولاً، وانتقل إلى لوحة التحكم (Dashboard)، انقر على Trading Tools، ثم اختر Economic Calendar. تقوم التقاويم الاقتصادية بإدراج التواريخ التي تحتوي على أخبار و أحداث اقتصادية مهمة مثل مستويات التضخم، تغيرات أسعار الفائدة وغيرها. لهذه البيانات تأثير كبير على سوق العملات العالمي، وهي أداة ضرورية لأي متداول في الفوركس لتحليل أدق للسوق، مما يساعده في وضع أو تعديل استراتيجيات أكثر ملائمة لتداول الفوركس مما يزيد فرصته في تحقيق الأرباح أو تجنب الخسائر.,لوحة المستخدم– التقويم الاقتصادي,Finalized,Done
"
برای استفاده از قسمت تکنیکال ویو لطفا وارد پنل کاربری خود شوید و در منوی داشبورد روی گزینه ی
Trading Tools
کلیک کنید و سپس گزینه ی
Technical Views
را انتخاب بفرمایید.
توجه داشته باشید این قسمت فقط برای کاربرانی قابل نمایش می باشد که حساب لایو فعال در بروکر داشته باشند وحداقل واریزی حساب معاملاتی خود را انجام داده و معامله کرده باشند.",تکنیکال-ویو,پنل- تکنیکال ویوو,"To use the Technical Views section, please log in to your user panel, go to the Dashboard menu, click on Trading Tools, and then select Technical Views.Please note that this section is only accessible to users who have an active live account with the broker, have made the minimum deposit, and have executed at least one trade.",Technical-View,"لاستخدام  أداة التحليل الفني ""Technical Views""، يرجى تسجيل الدخول إلى حسابك، والانتقال إلى لوحة التحكم (Dashboard)، انقر على Trading Tools، ثم اختر Technical Views. يرجى العلم أن هذه الأداة متاحة فقط للمستخدمين الذين لديهم حساب حقیقي نشط لدى الوسيط، وقد قاموا بإيداع الحد الأدنى المطلوب وأجروا عملية تداول واحدة على الأقل.",التحليل الفني,Finalized,Done
"در این خصوص لطف بفرمایید و درخواست خودتون رومبنی بر حذف حساب کاربری خود، به ایمیل زیر ارسال بفرمایید:
kyc@opofinance.com",حذف-حساب کاربری,پنل- حذف حساب کاربری,"n this regard, please send your request for account deletion to the following email address:
kyc@opofinance.com",Delete User Account,"في هذا الصدد، يُرجى إرسال طلبكم لحذف الحساب إلى عنوان البريد الإلكتروني التالي:
kyc@opofinance.com",حذف حساب المستخدم,Finalized,Done
"برای دانلود پلت فرم ها وارد پنل کاربری خود شوید از نوار سمت چپ روی گزینه ی  
Download Platfroms 
کلیک کرده و سپس  گزینه ی 
Apps 
را انتخاب بفرمایید. در پنجره ی جدید اپلیکیشن مدنظر را متناسب با دستگاه خود انتخاب و دانلود نمایید..",دانلود-اپلیکیشن,پنل- دانلود پلتفرم,"To download the platforms, please log in to your user panel, click on Download Platforms from the left-hand menu, and then select Apps. In the new window, choose the desired application compatible with your device and proceed with the download.",Download Application,لتحميل منصات التداول، يُرجى تسجيل الدخول إلى حسابك الخاص، ثم النقر على Download Platforms من القائمة الرئیسیة (الشريط الجانبي الأيسر)، وبعد ذلك اختيار (Apps). في النافذة الجديدة، اختر التطبيق المناسب لجهازك وقم بتحميله.,تحميل منصات التداول,Finalized,Done
"برای پیدا کردن کلاینت آیدی
زمانی که وارد پنل کاربری خود شوید در زیر نام و آواتار شما کلاینت آی دی نمایش داده شده است

همچنین میتوانید در قسمت نوار سمت چپ، 
Profile
را انتخاب بفرمایید و بعد از آن 
Personal Information
رو انتخاب نمایید. در صفحه جدید کلاینت آیدی شما نمایش داده می شود.",کلاینت-آیدی,پنل- دیدن کلاینت آی دی,"To find your Client ID, once you log in to your user panel, it will be displayed below your name and avatar.You can also find it by selecting Profile from the left-hand menu, then clicking on Personal Information. On the new page, your Client ID will be shown.",Client ID,"يمكن العثور على رقم العميل (Client ID) أسفل اسمك و صورتك الرمزية ""avatar""، بمجرد تسجيلك الدخول إلى حسابك الخاص. كما يمكنك العثور عليه بالنقر على Profile من خلال الشريط الجانبي الأيسر، ثم النقر على Personal Information. سيظهر  رقم العميل Client ID الخاص بك.",رقم العميل,Finalized,Done
